File DF1,"Supporting data file: summary of rock properties, experiments and test conditions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In this file are tabulated: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a),Descriptions of the rock types used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(b),XRD results and calculated elastic moduli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(c),Permeability data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(d),Pore volumometry data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(e),Finite element analysis of stresses in cores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Downstream reservoir volume = 445 ± 30 mm3,,,Log(10) argon viscosity (Pa.s) at 20 C =,,,1.64 + 0.0057*P(MPa),,,           Argon compressibility:,,,ideal=,1/P(MPa) ;,Real compressibility     =,,ideal compressibility*Multiplier,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,69.8,74.06,0.002378,,,,,,,,,,,,,
,,,,,,,,,,,,,,,69.8,78.39,0.002365,,,,,,,,,,,,,
,,,,,,,,,,,,,,,69.8,83.61,0.002421,,,,,,,,,,,,,
Bowland Shale IG5-8WC ,,,,,,,,,Modal proportions (vol%) for ternary diagram plot,,,,,,69.8,91.65,0.002445,,,,,,,,,,,,,
Phase,Wt%,±Error%,Density kg m-3,,Vol%,Kv GPa,,Gv GPa ,quartz +,Phyllo-,carbonate,TOC,,,69.8,93.39,0.002447,,,,,,,,,,,,,
Quartz,30.98,1.42,2648,,33.64,12.73,,14.9,pyrite,silicates,,wt%,,,69.8,99.73,0.002466,,,,,,,,,,,,,
Pyrite,8.32,0.44,5020,,4.77,6.63,,5.36,38.4,61.6,0,1.14+/-0.2,,,69.8,104.95,0.002459,,,,,,,,,,,,,
Muscovite 2M1,60.44,2.04,2844,,61.11,35.55,,21.61,,,,,,,69.8,110.95,0.002468,,,,,,,,,,,,,
Kaolinite,0.26,2.6,1580,,0.48,0.0072,,0.0067,Grain,Bulk,Total,,,,69.8,118.96,0.002432,,,,,,,,,,,,,
Total,100,,,,100,,,,density,density,porosity,,,,69.8,118.60,0.002454,,,,,,,,,,,,,
Zero porosity moduli (GPa):,,VRH(Ko),,VRH(Go),,,VRH(Eo),,kg/m^3,kg/m^3,% frm XRD,,,,69.8,118.33,0.002467,,,,,,,,,,,,,
,,52.79,,40.69,,,97.13,,2842+/-120,2714+/-38,4.5+/-0.02,,,,69.8,126.48,0.002436,,,,,,,,,,,,,
,,,,,,,,,,,,,,,69.8,134.26,0.002426,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haynesville Shale YB03,,,,,,,,,Modal proportions (vol%) for ternary diagram plot,,,,,,,,,,,,,,,,,,,,,
Phase,Wt%,±Error%,Density,Vol%,Kv GPa,Gv GPa,,,quartz +,Phyllo-,carbonate,TOC,,,,,,,,,,,,,,,,,,
,,,kg m-3,,,,,,pyrite,silicates,,wt%,,,,,,,,,,,,,,,,,,
Albite,10.49,0.505,2610,11.01,5.59,3.22,,,34.5,13.4,52.1,1.3+/-0.2,,,,,,,,,,,,,,,,,,
Ankerite Fe0.55,4.65,0.36,3050,4.17,4.8,2.46,,,,,,,,,,,,,,,,,,,,,,,,
Calcite,47.22,1.25,2712,47.69,32.94,15.24,,,,,,,,,,,,,,,,,,,,,,,,
Clinochlore IIb-24.11,0.41,2.9,3880,2.26,1.37,,,,Grain,Bulk,Total,,,,,,,,,,,,,,,,,,,
Muscovite 1M,9.97,1.46,2844,9.5,5.27,3.36,,,density,density,porosity,,,,,,,,,,,,,,,,,,,
Pyrite,1.27,0.1,5020,0.69,0.958,0.775,,,kg/m^3,kg/m^3,% frm XRD,,,,,,,,,,,,,,,,,,,
Quartz,18.71,0.74,2648,19.35,7.32,8.57,,,2703+/-120,2453+/-35,9.3+/-0.04,,,,,,,,,,,,,,,,,,,
Siderite,0.47,0.07,3960,0.33,0.408,0.168,,,,,,,,,,,,,,,,,,,,,,,,
Orthoclase,3.2,0.46,2540,3.45,1.61,0.815,,,,,,,,,,,,,,,,,,,,,,,,
Total,100,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero porosity moduli (GPa),,,,VRH(Go),VRH(Eo),VRH(Ko),,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.57,34.91,87.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennant Sandstone  Pe2,,,,,,,,,Modal proportions (vol%) for ternary diagram plot,,,,,,,,,,,,,,,,,,,,,
Phase,Wt%,±Error%,Density,Vol%,Kv GPa,Gv GPa,,,quartz +,Phyllo-,carbonate,,,,,,,,,,,,,,,,,,,
,,,kg m-3,,,,,,pyrite,silicates,,,,,,,,,,,,,,,,,,,,
Albite,16.14,0.7,2610,16.46,8.2,4.72,,,73.8,9.8,0,,,,,,,,,,,,,,,,,,,
Phyllosilicates,10.48,1.5,2840,9.81,6.1,3.71,,,,,,,,,,,,,,,,,,,,,,,,
Quartz,73.37,2.8,26480,73.73,27.77,32.5,,,Grain,Bulk,Total,,,,,,,,,,,,,,,,,,,
Total,99.99,,,100,,,,,density,density,porosity,,,,,,,,,,,,,,,,,,,
Zero porosity moduli (GPa):,,,,VRH(Ko),VRH(Go),VRH(Eo),,,kg/m^3,kg/m^3,% frm Helium porosimeter,,,,,,,,,,,,,,,,,,,
,,,,41.55,40.42,91.57,,,2661+/-120,3558+/-35,4.60+/-0.01,,,,,,,,,,,,,,,,,,,
